,company_id,mean_share_outstanding_2021,mean_share_outstanding_2022,mean_share_outstanding_2023,mean_eps_2021,mean_eps_2022,mean_eps_2023,mean_pe_ratio_2021,mean_pe_ratio_2022,mean_pe_ratio_2023,mean_price_to_sales_2021,mean_price_to_sales_2022,mean_price_to_sales_2023,mean_ebitda_2021,mean_ebitda_2022,mean_ebitda_2023,mean_return_on_assets_2021,mean_return_on_assets_2022,mean_return_on_assets_2023,mean_return_on_equity_2021,mean_return_on_equity_2022,mean_return_on_equity_2023,mean_return_on_capital_employed_2021,mean_return_on_capital_employed_2022,mean_return_on_capital_employed_2023,mean_interest_coverage_2021,mean_interest_coverage_2022,mean_interest_coverage_2023,cluster
0,0,1920000000.0,1920000000.0,1920000000.0,256.06,224.26999999999998,138.65,52.0475,44.2825,67.80666666666666,2.9675,3.435,2.89,1178032500000.0,914222500000.0,625656666666.6666,0.016699999999999975,0.014075,0.009066666666666667,0.0247,0.02035,0.012266666666666667,0.032424999999999975,0.02325,0.010966666666666666,8.6975,6.9975,4.303333333333334,2
1,1,17149999999.999998,17149999999.999998,17149999999.999998,10.27,9.682500000000001,9.44,219.785,96.5375,67.43666666666667,14.174999999999999,7.45,5.91,339665000000.0,330912500000.0,325020000000.0,0.024174999999999974,0.022875,0.021400000000000002,0.033075,0.029199999999999976,0.0277,0.035824999999999996,0.033299999999999996,0.0307,14.0675,17.5,19.3,0
2,2,3560000000.0,4772500000.0,8410000000.0,3.8725,3.2675,0.9333333333333332,703.16,589.2124999999999,576.6466666666666,1.2349999999999999,0.9475,1.0433333333333332,378270000000.0,384302500000.0,326200000000.0,0.00035,0.0005,0.0002,0.0024749999999999998,0.002725,0.0009333333333333333,0.033725,0.0284,0.018199999999999997,1.4625,1.6925,1.4533333333333334,1
3,3,31990000000.0,31990000000.0,31990000000.0,104.17750000000001,303.8225,196.72333333333333,22.162499999999998,11.6125,13.579999999999998,3.585,3.5700000000000003,3.3033333333333332,7193545000000.0,18729975000000.0,9499316666666.666,0.032,0.06922500000000001,0.04173333333333334,0.057374999999999975,0.119825,0.06346666666666667,0.063775,0.15184999999999998,0.06303333333333334,19.965,47.705000000000005,20.03,2
4,4,21842500000.0,23247500000.0,24740000000.0,-34.449999999999996,0.14500000000000005,0.19999999999999998,1535.3525000000002,88.01,1815.42,95.0575,63.392500000000005,40.199999999999996,12355000000.0,40512500000.0,53040000000.0,-0.040374999999999994,0.0002999999999999999,0.0004,-0.30635,0.0016999999999999752,0.0014333333333333333,-0.03964999999999998,0.0018,0.0037666666666666664,0.0,0.0,0.0,1
5,5,4010000000.0,20070000000.0,20070000000.0,69.2225,29.932499999999997,28.400000000000002,54.3425,39.9725,54.72333333333333,2.3549999999999995,1.9675,3.033333333333333,464900000000.0,880512500000.0,842963333333.3334,0.013125,0.022399999999999975,0.021933333333333332,0.030475000000000002,0.058300000000000005,0.05156666666666667,0.026249999999999978,0.05134999999999999,0.043800000000000006,28.599999999999998,61.03,40.013333333333335,2
6,6,24030000000.0,24030000000.0,24030000000.0,19.37,39.75,39.51333333333333,161.805,209.15,94.15999999999998,5.805,4.4575,4.566666666666666,907187500000.0,1200070000000.0,1403856666666.6667,0.014199999999999975,0.029124999999999998,0.0269333333333333,0.023200000000000002,0.041925,0.038099999999999995,0.027874999999999997,0.037125,0.03983333333333333,204.445,27.540000000000003,15.793333333333331,0
7,7,22700000000.0,22700000000.0,22700000000.0,-7.1625,21.9725,18.853333333333335,-26.35,-12.4275,6.079999999999999,3.62,2.0175,2.9499999999999997,305257500000.0,889872500000.0,779423333333.3334,-0.0054,0.016675,0.014899999999999932,-0.02009999999999995,0.04525,0.038733333333333335,0.00445,0.03272499999999997,0.03283333333333333,0.6525,3.66,2.7066666666666666,1
8,8,40480000000.0,40480000000.0,40480000000.0,124.7175,178.73999999999998,211.53333333333333,44.2275,38.9075,29.953333333333333,3.73,3.4399999999999995,3.1966666666666668,9457000000000.0,13698750000000.0,13661666666666.666,0.014049999999999976,0.0182,0.01983333333333333,0.030449999999999974,0.03905,0.044533333333333334,0.024774999999999974,0.03779999999999997,0.0365,11.235,20.0325,16.549999999999997,2
9,9,19650000000.0,19650000000.0,19650000000.0,1.8550000000000002,13.817499999999999,3.56,19.0875,9.785000000000002,70.25666666666666,5.4475,3.2075000000000005,4.1066666666666665,303402500000.0,570797500000.0,507476666666.6667,0.0016250000000000249,0.012199999999999975,0.0031000000000000003,0.0036249999999999998,0.026025,0.006566666666666666,0.015424999999999975,0.028974999999999976,0.017400000000000002,0.7425,1.4425,1.08,1
10,10,49315000000.0,123280000000.0,123280000000.0,251.9125,82.6125,98.48,104.2775,99.38000000000001,90.52999999999999,40.945,44.8475,41.60666666666666,10322092500000.0,13282305000000.0,15804173333333.334,0.006825,0.00795,0.008966666666666666,0.04095,0.048850000000000005,0.054299999999999994,0.00855,0.009925,0.011166666666666667,0.0,0.0,0.0,0
11,11,41475000000.0,67890000000.0,147890000000.0,-9.835,-18.515,-6.66,-22.677500000000002,-1.4249999999999998,-25.866666666666664,14.4925,11.522499999999999,12.4,122485000000.0,259300000000.0,0.0,-0.006350000000000025,-0.014374999999999999,-0.012966666666666668,-0.04807499999999999,-0.11577499999999999,-0.0675,-0.008675,-0.01475,-0.01656666666666667,0.0,0.0,0.0,1
12,12,18650000000.0,18650000000.0,18650000000.0,146.105,245.4875,281.58,38.56,35.135,34.099999999999994,7.4975000000000005,10.524999999999999,10.47,3693547500000.0,6440497500000.0,7100596666666.667,0.003025,0.004775,0.005200000000000001,0.0229,0.035375000000000004,0.0373,0.003574999999999975,0.006,0.0064,0.0,0.0,0.0,1
13,13,137455000000.0,151560000000.0,151560000000.0,55.9525,84.405,96.75333333333333,76.08,54.3925,53.22333333333333,14.83,17.2325,16.823333333333334,11054392500000.0,17166352500000.0,19795066666666.668,0.004974999999999974,0.007475,0.008033333333333333,0.032424999999999995,0.04449999999999997,0.0501,0.006725,0.009524999999999999,0.010233333333333332,0.0,0.0,0.0,0
14,14,10590000000.0,10590000000.0,14030000000.0,56.0975,71.88749999999999,54.93,31.2175,20.9225,23.133333333333336,2.56,2.4725,2.533333333333333,898217500000.0,1110967500000.0,777933333333.3334,0.0016,0.001975,0.0019,0.02915,0.034025,0.027199999999999964,0.002025,0.0025,0.002533333333333333,0.0,0.0,0.0,1
15,15,9770000000.0,9770000000.0,9770000000.0,40.1975,84.4725,87.34333333333332,74.39,29.8675,34.12,5.39,5.6475,5.703333333333333,757935000000.0,1299075000000.0,1317973333333.3333,0.00205,0.00425,0.004166666666666667,0.00895,0.018125000000000002,0.018,0.003124999999999975,0.00595,0.0057,0.0,0.0,0.0,1
16,16,9650000000.0,9650000000.0,9650000000.0,-1.8425,0.8750000000000002,3.503333333333334,-28.794999999999995,5.335000000000003,11.939999999999998,28.185,13.242500000000001,12.093333333333334,14270000000.0,59885000000.0,63383333333.333336,-0.00285,0.0014500000000000003,0.005566666666666667,-0.004124999999999999,0.0018249999999999998,0.0076,0.001324999999999975,0.0097,0.01,0.18999999999999997,1.9775,1.55,1
